"key";"en"
"Airbus A380";""
"Boeing 747";""
"Cargoes";""
"cargo.add";"Add cargo"
"cargo.dangerous";"Dangerous"
"cargo.normal";"Normal"
"general.airplane";"Airplane"
"general.airplane.maxCargoWeight";"Max Cargo Weight"
"general.airplane.name";"Name"
"general.cargo.name";"Name"
"general.cargo.type";"Type"
"general.cargo.type.dangerous";"Dangerous"
"general.cargo.type.normal";"Normal"
"general.cargo.weight";"Weight"
"general.cargoes";"Cargoes"
"general.documents";"Documents"
"general.from";"From"
"general.submit";"Submit"
"general.thank-you-transport-submit";"Thank you for submission"
"general.to";"To"
"general.transport-details";"Transport Details"
"general.transport-submitted";"Transport submitted"
"general.transportDate";"Date"
